cell	value
A1	program
B1	depth
C1	num_mutations
D1	num_samples
E1	run
F1	v_measure
G1	num_mutations_pred
H1	num_mutations_true
I1	ancestor_descendant_f_score
J1	Success
K1	memory
L1	time
A2	PhyClone
J136	1
K136	80.43000000000001
L136	10.1669
A137	Orchard
B137	1000
C137	10000
D137	16
E137	6
F137	1
G137	9923
H137	10000
I137	0.9961319706855843
J137	1
K137	84.5
L137	8.0443
A138	Pairtree
B138	1000
C138	10000
D138	2
E138	6
F138	0.7884604360156846
G138	9999
H138	10000
I138	0.7116435773192186
J138	1
K138	1157.89
L138	154.5113
A139	Pairtree
B139	1000
C139	10000
D139	4
E139	6
F139	0.9975477915774192
G139	9984
H139	10000
I139	0.989829583675062
J139	1
K139	1138.49
L139	151.8521
A140	Pairtree
B140	1000
C140	10000
D140	8
E140	6
F140	0.9438612385381639
G140	9974
H140	10000
I140	0.9862649151809459
J140	1
K140	1161.14
L140	223.322
A141	Pairtree
B141	1000
C141	10000
D141	16
E141	6
F141	1
G141	9923
H141	10000
I141	0.9961319706855843
J141	1
K141	1188.37
L141	239.6847
A142	PhyClone
B142	1000
C142	10000
D142	2
E142	7
F142	0.9431778665191024
G142	10000
H142	10000
I142	0.9361167802341444
J142	1
K142	1117.3
L142	591.7001
A143	PhyClone
B143	1000
C143	10000
D143	4
E143	7
F143	0.9321337424617632
G143	10000
H143	10000
I143	0.9729816685442424
J143	1
K143	1148.43
L143	229.2136
A144	PhyClone
B144	1000
C144	10000
D144	8
E144	7
F144	0.7991368721681891
G144	10000
H144	10000
I144	0.8613977886487389
J144	1
K144	1205.44
L144	219.7297
A145	PhyClone
B145	1000
C145	10000
D145	16
E145	7
F145	0.8828473864252189
G145	10000
H145	10000
I145	0.8501901502355991
J145	1
K145	1765.46
L145	4100.427000000001
A146	CONIPHER
B146	1000
C146	10000
D146	2
E146	7
F146	0.9431778665191024
G146	10000
H146	10000
I146	0.9283057974715456
J146	1
K146	549.86
L146	413.0025
A147	CONIPHER
B147	1000
C147	10000
D147	4
E147	7
F147	0.9320757924340218
G147	9999
H147	10000
I147	0.9743804617326586
J147	1
K147	449.85
L147	571.9167
A148	CONIPHER
B148	1000
C148	10000
D148	8
E148	7
F148	1
G148	8853
H148	10000
I148	0.9110218963466212
J148	1
K148	691.75
L148	1766.4299
A149	CONIPHER
B149	1000
C149	10000
D149	16
E149	7
F149	0.8686376585049409
G149	9908
H149	10000
I149	0.9350495583637144
J149	1
K149	681.84
L149	2735.4713
A150	fastBE
B150	1000
C150	10000
D150	2
E150	7
F150	0.9431778665191024
G150	10000
H150	10000
I150	0.9790766450773128
J150	1
K150	32.16
L150	1.1547
A151	fastBE
B151	1000
C151	10000
D151	4
E151	7
F151	0.9321337424617632
G151	10000
H151	10000
I151	0.9985475219632683
J151	1
K151	32.95
L151	1.0964
A152	fastBE
B152	1000
C152	10000
D152	8
E152	7
F152	0.7991368721681891
G152	10000
H152	10000
I152	0.8613977886487389
J152	1
K152	34.85
L152	1.797
A153	fastBE
B153	1000
C153	10000
D153	16
E153	7
F153	0.8657460071536955
G153	10000
H153	10000
I153	0.8474272710831837
J153	1
K153	41.27
L153	6.4678
A154	Orchard
B154	1000
C154	10000
D154	2
E154	7
F154	0.9431646695205744
G154	9994
H154	10000
I154	0.9357257965540861
J154	1
K154	43.84
L154	30.8536
A155	Orchard
B155	1000
C155	10000
D155	4
E155	7
F155	0.9320903223686392
G155	9993
H155	10000
I155	0.9737319838402632
J155	1
K155	42.88
L155	30.4315
A156	Orchard
B156	1000
C156	10000
D156	8
E156	7
F156	0.7986641686600053
G156	9985
H156	10000
I156	0.8589156463783629
J156	1
K156	96.70999999999999
L156	13.5683
A157	Orchard
B157	1000
C157	10000
D157	16
E157	7
F157	0.8655326033653916
G157	9984
H157	10000
I157	0.8436925780755059
J157	1
K157	398.41
L157	12.0392
A158	Pairtree
B158	1000
C158	10000
D158	2
E158	7
F158	0.9431646695205744
G158	9994
H158	10000
I158	0.9929858635220626
J158	1
K158	1137.63
L158	147.0406
A159	Pairtree
B159	1000
C159	10000
D159	4
E159	7
F159	0.9320903223686392
G159	9993
H159	10000
I159	0.9737319838402632
J159	1
K159	1177.02
L159	178.9985
A160	Pairtree
B160	1000
C160	10000
D160	8
E160	7
F160	0.7986641686600053
G160	9985
H160	10000
I160	0.8589156463783629
J160	1
K160	1191.4
L160	178.5091
A161	Pairtree
B161	1000
C161	10000
D161	16
E161	7
F161	0.8655326033653916
G161	9984
H161	10000
I161	0.8436925780755059
J161	1
K161	1205.08
L161	227.1316
A162	PhyClone
B162	1000
C162	10000
D162	2
E162	8
F162	0.9799657314069932
G162	10000
H162	10000
I162	0.998978057528201
J162	1
K162	1122.51
