cell	value
A1	program
B1	depth
C1	num_mutations
D1	num_samples
E1	run
F1	v_measure
G1	num_mutations_pred
H1	num_mutations_true
I1	ancestor_descendant_f_score
J1	Success
K1	memory
L1	time
A2	PhyClone
A149	Pairtree
B149	1000
C149	100
D149	8
E149	4
F149	1
G149	100
H149	100
I149	1
J149	1
K149	1157.54
L149	88.21599999999999
A150	Pairtree
B150	1000
C150	100
D150	16
E150	4
F150	1
G150	98
H150	100
I150	0.9888641425389756
J150	1
K150	1149.86
L150	93.4635
A151	Pairtree
B151	1000
C151	100
D151	128
E151	4
F151	1
G151	98
H151	100
I151	0.9835779175401816
J151	1
K151	1143.32
L151	114.0948
A152	PhyClone
B152	1000
C152	100
D152	2
E152	5
F152	1
G152	100
H152	100
I152	1
J152	1
K152	1002.35
L152	100.8549
A153	PhyClone
B153	1000
C153	100
D153	4
E153	5
F153	1
G153	100
H153	100
I153	0.9922836287799792
J153	1
K153	1005.41
L153	174.371
A154	PhyClone
B154	1000
C154	100
D154	8
E154	5
F154	1
G154	100
H154	100
I154	1
J154	1
K154	1038.69
L154	251.0182
A155	PhyClone
B155	1000
C155	100
D155	16
E155	5
F155	1
G155	100
H155	100
I155	1
J155	1
K155	1065.75
L155	250.7415
A156	PhyClone
B156	1000
C156	100
D156	128
E156	5
F156	1
G156	100
H156	100
I156	1
J156	1
K156	1122.86
L156	262.8909
A157	PhyloWGS
B157	1000
C157	100
D157	2
E157	5
F157	0.7230196702151258
G157	100
H157	100
I157	0.8506044905008635
J157	1
K157	220.37
L157	44.5992
A158	PhyloWGS
B158	1000
C158	100
D158	4
E158	5
F158	0.6503985339482645
G158	100
H158	100
I158	0.9869321717486
J158	1
K158	266.64
L158	7179.2772
A159	PhyloWGS
B159	1000
C159	100
D159	8
E159	5
F159	0.850919256586515
G159	100
H159	100
I159	0.9957716701902748
J159	1
K159	261.83
L159	17302.8941
A160	PhyloWGS
B160	1000
C160	100
D160	16
E160	5
F160	0.853175606805747
G160	100
H160	100
I160	0.992831541218638
J160	1
K160	263.15
L160	24709.9768
A161	PhyloWGS
B161	1000
C161	100
D161	128
E161	5
F161	0.7888336351715682
G161	100
H161	100
I161	0.076863354037267
J161	1
K161	293.88
L161	151315.9641
A162	CONIPHER
B162	1000
C162	100
D162	2
E162	5
F162	1
G162	99
H162	100
I162	0.9473124002128792
J162	1
K162	65.25
L162	28.5467
A163	CONIPHER
B163	1000
C163	100
D163	4
E163	5
F163	1
G163	98
H163	100
I163	0.9736842105263158
J163	1
K163	128.94
L163	19.8614
A164	CONIPHER
B164	1000
C164	100
D164	8
E164	5
F164	1
G164	93
H164	100
I164	0.7397504456327986
J164	1
K164	66.38
L164	34.2345
A165	CONIPHER
B165	1000
C165	100
D165	16
E165	5
F165	1
G165	95
H165	100
I165	0.9288099841799964
J165	1
K165	151.77
L165	38.4323
A166	CONIPHER
B166	1000
C166	100
D166	128
E166	5
F166	1
G166	99
H166	100
I166	0
J166	1
K166	176.47
L166	167.9467
A167	fastBE
B167	1000
C167	100
D167	2
E167	5
F167	1
G167	100
H167	100
I167	0.910010111223458
J167	1
K167	34.75
L167	2.8449
A168	fastBE
B168	1000
C168	100
D168	4
E168	5
F168	1
G168	100
H168	100
I168	1
J168	1
K168	34.24
L168	0.86
A169	fastBE
B169	1000
C169	100
D169	8
E169	5
F169	1
G169	100
H169	100
I169	1
J169	1
K169	41.52
L169	3.5186
A170	fastBE
B170	1000
C170	100
D170	16
E170	5
F170	1
G170	100
H170	100
I170	0.5050869707909419
J170	1
K170	41.51
L170	5.1752
A171	fastBE
B171	1000
C171	100
D171	128
E171	5
F171	1
G171	100
H171	100
I171	1
J171	1
K171	33.46
L171	1.8043
A172	Orchard
B172	1000
C172	100
D172	2
E172	5
F172	1
G172	100
H172	100
I172	1
J172	1
K172	68.87
L172	12.8515
A173	Orchard
B173	1000
C173	100
D173	4
E173	5
F173	1
G173	100
H173	100
I173	0.9922836287799792
J173	1
K173	69.27
L173	11.6654
A174	Orchard
B174	1000
C174	100
D174	8
E174	5
F174	1
G174	100
H174	100
I174	1
J174	1
K174	67.02
L174	17.931
A175	Orchard
B175	1000
C175	100
D175	16
E175	5
F175	1
G175	100
H175	100
I175	1
J175	1
K175	68.8
L175	4.387700000000001
A176	Orchard
B176	1000
C176	100
D176	128
E176	5
F176	1
G176	100
H176	100
I176	1
J176	1
K176	332.43
L176	6.2074
A177	Pairtree
B177	1000
C177	100
D177	2
E177	5
F177	1
G177	100
H177	100
I177	1
J177	1
K177	1090.62
L177	99.6383
A178	Pairtree
B178	1000
C178	100
D178	4
E178	5
F178	1
G178	100
H178	100
I178	1
J178	1
K178	1131.8
L178	199.9093
A179	Pairtree
B179	1000
C179	100
D179	8
E179	5
F179	1
G179	100
H179	100
I179	1
J179	1
K179	1123.6
L179	109.4332
A180	Pairtree
B180	1000
C180	100
D180	16
E180	5
F180	1
G180	100
H180	100
I180	1
J180	1
K180	1141.76
